instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,01/01/2011,1,0,1,0,6,0,2,14.11,18.18,80.58,10.75,331,654,985
2,02/01/2011,1,0,1,0,0,0,2,14.9,17.69,69.61,16.65,131,670,801
3,03/01/2011,1,0,1,0,1,1,1,8.05,9.47,43.73,16.64,120,1229,1349
4,04/01/2011,1,0,1,0,2,1,1,8.2,10.61,59.04,10.74,108,1454,1562
5,05/01/2011,1,0,1,0,3,1,1,9.31,11.46,43.7,12.52,82,1518,1600
6,06/01/2011,1,0,1,0,4,1,1,8.38,11.66,51.83,6,88,1518,1606
7,07/01/2011,1,0,1,0,5,1,2,8.06,10.44,49.87,11.3,148,1362,1510
8,08/01/2011,1,0,1,0,6,0,2,6.77,8.11,53.58,17.88,68,891,959
9,09/01/2011,1,0,1,0,0,0,1,5.67,5.81,43.42,24.25,54,768,822
10,10/01/2011,1,0,1,0,1,1,1,6.18,7.54,48.29,14.96,41,1280,1321
11,11/01/2011,1,0,1,0,2,1,2,6.93,9.57,68.64,8.18,43,1220,1263
12,12/01/2011,1,0,1,0,3,1,1,7.08,8.02,59.95,20.41,25,1137,1162
13,13/01/2011,1,0,1,0,4,1,1,6.77,7.54,47.04,20.17,38,1368,1406
14,14/01/2011,1,0,1,0,5,1,1,6.6,9.42,53.78,8.48,54,1367,1421
15,15/01/2011,1,0,1,0,6,0,2,9.57,12.41,49.88,10.58,222,1026,1248
16,16/01/2011,1,0,1,0,0,0,1,9.5,11.71,48.38,12.63,251,953,1204
17,17/01/2011,1,0,1,1,1,0,2,7.21,8.84,53.75,13,117,883,1000
18,18/01/2011,1,0,1,0,2,1,2,8.88,11.62,86.17,9.83,9,674,683
19,19/01/2011,1,0,1,0,3,1,2,11.98,14.92,74.17,13.96,78,1572,1650
20,20/01/2011,1,0,1,0,4,1,2,10.73,12.75,53.83,13.13,83,1844,1927
21,21/01/2011,1,0,1,0,5,1,1,7.28,7.89,45.71,23.67,75,1468,1543
22,22/01/2011,1,0,1,0,6,0,1,2.42,3.95,40,11.52,93,888,981
23,23/01/2011,1,0,1,0,0,0,1,3.96,4.94,43.65,16.52,150,836,986
24,24/01/2011,1,0,1,0,1,1,1,3.99,5.9,49.17,10.61,86,1330,1416
25,25/01/2011,1,0,1,0,2,1,2,9.16,11.73,61.7,8.7,186,1799,1985
26,26/01/2011,1,0,1,0,3,1,3,8.92,10.18,86.25,19.69,34,472,506
27,27/01/2011,1,0,1,0,4,1,1,8,10.99,68.75,7.63,15,416,431
28,28/01/2011,1,0,1,0,5,1,2,8.34,11.17,79.3,8.26,38,1129,1167
29,29/01/2011,1,0,1,0,6,0,1,8.06,10.61,65.17,9.74,123,975,1098
30,30/01/2011,1,0,1,0,0,0,1,8.88,12.52,72.22,4.96,140,956,1096
31,31/01/2011,1,0,1,0,1,1,2,7.41,9.31,60.38,12.54,42,1459,1501
32,01/02/2011,1,0,2,0,2,1,2,7.88,11.73,82.96,3.57,47,1313,1360
33,02/02/2011,1,0,2,0,3,1,2,10.66,12.72,77.54,17.71,72,1454,1526
34,03/02/2011,1,0,2,0,4,1,1,7.67,8.89,43.78,18.61,61,1489,1550
35,04/02/2011,1,0,2,0,5,1,2,8.66,11.43,58.52,8.57,88,1620,1708
36,05/02/2011,1,0,2,0,6,0,2,9.57,12.15,92.92,10.79,100,905,1005
37,06/02/2011,1,0,2,0,0,0,1,11.72,14.58,56.83,9.5,354,1269,1623
38,07/02/2011,1,0,2,0,1,1,1,11.14,15.18,73.83,3.04,120,1592,1712
39,08/02/2011,1,0,2,0,2,1,1,9.05,9.91,53.79,24.25,64,1466,1530
40,09/02/2011,1,0,2,0,3,1,2,5.53,7.21,49.48,12.65,53,1552,1605
41,10/02/2011,1,0,2,0,4,1,1,5.92,7.48,43.74,14.87,47,1491,1538
42,11/02/2011,1,0,2,0,5,1,1,7.75,10.68,50.64,7.27,149,1597,1746
43,12/02/2011,1,0,2,0,6,0,1,9.12,11.65,54.42,13.63,288,1184,1472
44,13/02/2011,1,0,2,0,0,0,1,12.98,16.21,45.74,17.48,397,1192,1589
45,14/02/2011,1,0,2,0,1,1,1,17.02,19.92,37.58,28,208,1705,1913
46,15/02/2011,1,0,2,0,2,1,1,10.91,12.71,31.43,19.52,140,1675,1815
47,16/02/2011,1,0,2,0,3,1,1,13.05,15.81,42.35,16.87,218,1897,2115
48,17/02/2011,1,0,2,0,4,1,1,17.87,21.43,50.5,15.42,259,2216,2475
49,18/02/2011,1,0,2,0,5,1,1,21.39,25.6,51.67,17.75,579,2348,2927
50,19/02/2011,1,0,2,0,6,0,1,16.37,19.57,18.79,34,532,1103,1635
51,20/02/2011,1,0,2,0,0,0,1,11.69,13.87,40.78,14.96,639,1173,1812
52,21/02/2011,1,0,2,1,1,0,2,12.44,14.2,60.5,20.63,195,912,1107
53,22/02/2011,1,0,2,0,2,1,1,7.47,9.3,57.78,13.11,74,1376,1450
54,23/02/2011,1,0,2,0,3,1,1,9.09,12.29,42.3,6.31,139,1778,1917
55,24/02/2011,1,0,2,0,4,1,2,12.12,14.46,69.74,16.78,100,1707,1807
56,25/02/2011,1,0,2,0,5,1,2,14.94,17.52,71.22,23.22,120,1341,1461
57,26/02/2011,1,0,2,0,6,0,1,11.58,14.11,53.79,12.5,424,1545,1969
58,27/02/2011,1,0,2,0,0,0,1,14.08,17.56,68,8.39,694,1708,2402
59,28/02/2011,1,0,2,0,1,1,2,16.7,20.01,87.64,19.41,81,1365,1446
60,01/03/2011,1,0,3,0,2,1,1,10.93,13.19,53.5,14.5,137,1714,1851
61,02/03/2011,1,0,3,0,3,1,1,13.74,16,44.96,20.62,231,1903,2134
62,03/03/2011,1,0,3,0,4,1,1,8.13,10.01,31.83,15.13,123,1562,1685
63,04/03/2011,1,0,3,0,5,1,2,10.73,12.78,61.04,13.62,214,1730,1944
64,05/03/2011,1,0,3,0,6,0,2,15.75,18.94,78.92,16.88,640,1437,2077
65,06/03/2011,1,0,3,0,0,0,2,15.44,18.31,94.83,23,114,491,605
66,07/03/2011,1,0,3,0,1,1,1,10.73,11.92,55.13,22.87,244,1628,1872
67,08/03/2011,1,0,3,0,2,1,1,11.99,15.12,42.08,8.08,316,1817,2133
68,09/03/2011,1,0,3,0,3,1,2,12.13,14.33,77.54,14.75,191,1700,1891
69,10/03/2011,1,0,3,0,4,1,3,15.95,19.28,0,17.55,46,577,623
70,11/03/2011,1,0,3,0,5,1,2,12.98,15.25,64.96,15.61,247,1730,1977
71,12/03/2011,1,0,3,0,6,0,1,13.5,16.29,59.46,14.79,724,1408,2132
72,13/03/2011,1,0,3,0,0,0,1,15.76,19,52.74,18.13,982,1435,2417
73,14/03/2011,1,0,3,0,1,1,1,13.33,16.6,49.7,9.17,359,1687,2046
74,15/03/2011,1,0,3,0,2,1,2,13.01,15.91,65.57,12.35,289,1767,2056
75,16/03/2011,1,0,3,0,3,1,2,14.97,18.35,77.65,13.61,321,1871,2192
76,17/03/2011,1,0,3,0,4,1,1,17.02,20.52,60.29,14.04,424,2320,2744
77,18/03/2011,1,0,3,0,5,1,1,22.14,26.35,52.52,15.48,884,2355,3239
78,19/03/2011,1,0,3,0,6,0,1,19.37,23.33,37.92,24.67,1424,1693,3117
79,20/03/2011,1,0,3,0,0,0,1,13.63,16.29,47.38,13.92,1047,1424,2471
80,21/03/2011,2,0,3,0,1,1,2,17.65,20.49,73.74,19.35,401,1676,2077
81,22/03/2011,2,0,3,0,2,1,1,18.11,22.03,62.46,15.13,460,2243,2703
82,23/03/2011,2,0,3,0,3,1,2,14.23,16.9,83.96,15.7,203,1918,2121
83,24/03/2011,2,0,3,0,4,1,2,11.69,13.54,80.58,16.33,166,1699,1865
84,25/03/2011,2,0,3,0,5,1,1,10.83,12.82,49.5,15.46,300,1910,2210
85,26/03/2011,2,0,3,0,6,0,1,10.9,12.88,39.42,14.04,981,1515,2496
86,27/03/2011,2,0,3,0,0,0,2,10.37,12.52,49.39,12.35,472,1221,1693
87,28/03/2011,2,0,3,0,1,1,1,10.84,12.88,30.22,14.22,222,1806,2028
88,29/03/2011,2,0,3,0,2,1,1,12.4,14.65,31.42,15.21,317,2108,2425
89,30/03/2011,2,0,3,0,3,1,2,12.3,14.87,64.67,11.58,168,1368,1536
90,31/03/2011,2,0,3,0,4,1,3,11,12.88,91.83,14.58,179,1506,1685
91,01/04/2011,2,0,4,0,5,1,2,12.3,14.17,68.63,17.33,307,1920,2227
92,02/04/2011,2,0,4,0,6,0,2,12.92,15.78,65.38,13.21,898,1354,2252
93,03/04/2011,2,0,4,0,0,0,1,15.51,18.94,48,12.21,1651,1598,3249
94,04/04/2011,2,0,4,0,1,1,1,23.51,27.15,42.63,25.83,734,2381,3115
95,05/04/2011,2,0,4,0,2,1,2,16.98,19.92,64.21,26,167,1628,1795
96,06/04/2011,2,0,4,0,3,1,1,16.02,19.38,47.08,17.63,413,2395,2808
97,07/04/2011,2,0,4,0,4,1,1,17.94,21.68,60.29,10.87,571,2570,3141
98,08/04/2011,2,0,4,0,5,1,2,13.77,16.22,83.63,15.21,172,1299,1471
99,09/04/2011,2,0,4,0,6,0,2,14.04,17.08,87.75,8.92,879,1576,2455
100,10/04/2011,2,0,4,0,0,0,2,17.49,21.34,85.75,9.83,1188,1707,2895
101,11/04/2011,2,0,4,0,1,1,2,24.42,28.26,71.7,21.74,855,2493,3348
102,12/04/2011,2,0,4,0,2,1,2,20.6,24.65,73.92,18.42,257,1777,2034
103,13/04/2011,2,0,4,0,3,1,2,16.91,20.86,81.92,16.79,209,1953,2162
104,14/04/2011,2,0,4,0,4,1,1,19.17,23.14,54.04,7.42,529,2738,3267
105,15/04/2011,2,0,4,1,5,0,1,18.31,22.1,67.13,15.17,642,2484,3126
106,16/04/2011,2,0,4,0,6,0,3,17.66,21.27,88.83,22.83,121,674,795
107,17/04/2011,2,0,4,0,0,0,1,18.72,22.28,47.96,20.33,1558,2186,3744
108,18/04/2011,2,0,4,0,1,1,1,21.01,25.16,54.25,10.96,669,2760,3429
109,19/04/2011,2,0,4,0,2,1,2,20.74,24.46,66.58,10.58,409,2795,3204
110,20/04/2011,2,0,4,0,3,1,1,24.4,28.22,61.42,16.21,613,3331,3944
111,21/04/2011,2,0,4,0,4,1,1,18.83,22.69,40.71,21.79,745,3444,4189
112,22/04/2011,2,0,4,0,5,1,2,13.8,16.1,72.96,14.71,177,1506,1683
113,23/04/2011,2,0,4,0,6,0,2,18.86,22.51,88.79,15.46,1462,2574,4036
114,24/04/2011,2,0,4,0,0,0,2,23.85,27.59,81.08,12.88,1710,2481,4191
115,25/04/2011,2,0,4,0,1,1,1,24.87,28.73,77.67,12.42,773,3300,4073
116,26/04/2011,2,0,4,0,2,1,1,25.9,29.7,72.92,21.88,678,3722,4400
117,27/04/2011,2,0,4,0,3,1,2,25.42,28.76,83.54,20.92,547,3325,3872
118,28/04/2011,2,0,4,0,4,1,2,25.32,28.95,70.08,21.5,569,3489,4058
119,29/04/2011,2,0,4,0,5,1,1,20.91,24.87,45.71,16.08,878,3717,4595
120,30/04/2011,2,0,4,0,6,0,1,19.37,23.2,50.33,15.75,1965,3347,5312
121,01/05/2011,2,0,5,0,0,0,2,18.52,22.41,76.21,7.13,1138,2213,3351
122,02/05/2011,2,0,5,0,1,1,2,22.52,26.64,73,12.29,847,3554,4401
123,03/05/2011,2,0,5,0,2,1,2,25.28,29.1,69.71,22.96,603,3848,4451
124,04/05/2011,2,0,5,0,3,1,2,16.98,20.23,73.71,22.04,255,2378,2633
125,05/05/2011,2,0,5,0,4,1,1,18.83,22.1,44.42,19.79,614,3819,4433
126,06/05/2011,2,0,5,0,5,1,1,19.65,23.71,59,15.29,894,3714,4608
127,07/05/2011,2,0,5,0,6,0,1,21.32,25.63,54.13,10.75,1612,3102,4714
128,08/05/2011,2,0,5,0,0,0,1,21.66,25.95,63.17,5,1401,2932,4333
129,09/05/2011,2,0,5,0,1,1,1,21.83,26.26,58.88,11.79,664,3698,4362
130,10/05/2011,2,0,5,0,2,1,1,21.83,26.14,48.92,7.75,694,4109,4803
131,11/05/2011,2,0,5,0,3,1,1,22.24,26.42,63.29,8.08,550,3632,4182
132,12/05/2011,2,0,5,0,4,1,1,21.94,26.17,74.75,12.71,695,4169,4864
133,13/05/2011,2,0,5,0,5,1,2,21.01,24.72,86.33,12.04,692,3413,4105
134,14/05/2011,2,0,5,0,6,0,2,21.35,25.03,92.25,9.04,902,2507,3409
135,15/05/2011,2,0,5,0,0,0,2,23.06,26.8,86.71,10.25,1582,2971,4553
136,16/05/2011,2,0,5,0,1,1,1,23.68,27.53,78.79,8.5,773,3185,3958
137,17/05/2011,2,0,5,0,2,1,2,23.03,26.93,83.79,18.58,678,3445,4123
138,18/05/2011,2,0,5,0,3,1,2,22.55,26.36,87,13.5,536,3319,3855
139,19/05/2011,2,0,5,0,4,1,2,21.76,25.54,82.96,7.25,735,3840,4575
140,20/05/2011,2,0,5,0,5,1,1,22,26.45,71.96,8.38,909,4008,4917
141,21/05/2011,2,0,5,0,6,0,1,24.7,28.6,62.67,8.08,2258,3547,5805
142,22/05/2011,2,0,5,0,0,0,1,24.77,28.73,74.96,9.92,1576,3084,4660
143,23/05/2011,2,0,5,0,1,1,2,25.9,29.51,81,15.67,836,3438,4274
144,24/05/2011,2,0,5,0,2,1,2,27.06,30.24,74.08,13.88,659,3833,4492
145,25/05/2011,2,0,5,0,3,1,1,27.09,30.78,69.63,10.33,740,4238,4978
146,26/05/2011,2,0,5,0,4,1,1,29.04,32.73,67.75,13.38,758,3919,4677
147,27/05/2011,2,0,5,0,5,1,1,27.95,31.85,65.38,16.13,871,3808,4679
148,28/05/2011,2,0,5,0,6,0,1,26.89,30.62,72.96,15.42,2001,2757,4758
149,29/05/2011,2,0,5,0,0,0,1,27.37,30.78,81.88,14.33,2355,2433,4788
150,30/05/2011,2,0,5,1,1,0,1,30.07,33.55,68.5,8.79,1549,2549,4098
151,31/05/2011,2,0,5,0,2,1,1,31.78,36.27,63.67,7.46,673,3309,3982
152,01/06/2011,2,0,6,0,3,1,2,31.33,36.05,67.71,13.88,513,3461,3974
153,02/06/2011,2,0,6,0,4,1,1,29.32,32.2,30.5,19.58,736,4232,4968
154,03/06/2011,2,0,6,0,5,1,1,25.42,29.36,35.42,16.96,898,4414,5312
155,04/06/2011,2,0,6,0,6,0,1,26.04,29.73,45.63,8.25,1869,3473,5342
156,05/06/2011,2,0,6,0,0,0,2,26.58,30.84,65.25,9.29,1685,3221,4906
157,06/06/2011,2,0,6,0,1,1,1,27.81,31.09,60,8.17,673,3875,4548
158,07/06/2011,2,0,6,0,2,1,1,29.01,32.8,59.79,12.58,763,4070,4833
159,08/06/2011,2,0,6,0,3,1,1,31.81,36.36,62.21,9.17,676,3725,4401
160,09/06/2011,2,0,6,0,4,1,2,33.14,37.88,56.83,10.04,563,3352,3915
161,10/06/2011,2,0,6,0,5,1,1,30.96,35.16,60.5,9.42,815,3771,4586
162,11/06/2011,2,0,6,0,6,0,1,29.73,33.9,65.46,10.37,1729,3237,4966
163,12/06/2011,2,0,6,0,0,0,1,28.39,32.17,74.79,10.96,1467,2993,4460
164,13/06/2011,2,0,6,0,1,1,1,26.04,30.08,49.46,20.46,863,4157,5020
165,14/06/2011,2,0,6,0,2,1,1,24.77,29.58,50.71,18.04,727,4164,4891
166,15/06/2011,2,0,6,0,3,1,1,25.69,29.39,47.17,11.25,769,4411,5180
167,16/06/2011,2,0,6,0,4,1,2,25.76,29.77,68.83,13.83,545,3222,3767
168,17/06/2011,2,0,6,0,5,1,1,26.62,30.02,73.58,9.58,863,3981,4844
169,18/06/2011,2,0,6,0,6,0,1,28.56,32.2,67.04,8,1807,3312,5119
170,19/06/2011,2,0,6,0,0,0,2,28.67,32.29,66.67,6.83,1639,3105,4744
171,20/06/2011,2,0,6,0,1,1,2,26.04,29.77,74.63,10.42,699,3311,4010
172,21/06/2011,3,0,6,0,2,1,2,27.91,31.88,77.04,11.46,774,4061,4835
173,22/06/2011,3,0,6,0,3,1,1,30.07,34.69,70.75,11.54,661,3846,4507
174,23/06/2011,3,0,6,0,4,1,2,29.86,34.69,70.33,16,746,4044,4790
175,24/06/2011,3,0,6,0,5,1,1,29.69,32.83,57.33,14.88,969,4022,4991
176,25/06/2011,3,0,6,0,6,0,1,28.5,32.17,48.33,14.04,1782,3420,5202
177,26/06/2011,3,0,6,0,0,0,1,27.88,31.88,51.33,6.33,1920,3385,5305
178,27/06/2011,3,0,6,0,1,1,2,27.98,31.85,65.83,7.21,854,3854,4708
179,28/06/2011,3,0,6,0,2,1,1,30.51,34.63,63.42,9.67,732,3916,4648
180,29/06/2011,3,0,6,0,3,1,1,29.86,32.73,49.79,17.54,848,4377,5225
181,30/06/2011,3,0,6,0,4,1,1,28.56,31.85,43.42,12.42,1027,4488,5515
182,01/07/2011,3,0,7,0,5,1,1,29.62,32.61,39.63,6.87,1246,4116,5362
183,02/07/2011,3,0,7,0,6,0,1,30.27,33.37,44.46,7.71,2204,2915,5119
184,03/07/2011,3,0,7,0,0,0,2,29.38,33.43,68.25,15.33,2282,2367,4649
185,04/07/2011,3,0,7,1,1,0,2,29.79,33.27,63.79,5.46,3065,2978,6043
186,05/07/2011,3,0,7,0,2,1,1,30.61,34.82,59.04,8.46,1031,3634,4665
187,06/07/2011,3,0,7,0,3,1,1,29.52,34.28,74.33,10.04,784,3845,4629
188,07/07/2011,3,0,7,0,4,1,1,30.75,34.34,65.13,10.67,754,3838,4592
189,08/07/2011,3,0,7,0,5,1,2,29.08,33.52,75.79,15.08,692,3348,4040
190,09/07/2011,3,0,7,0,6,0,1,30.07,33.21,60.92,11.25,1988,3348,5336
191,10/07/2011,3,0,7,0,0,0,1,30.65,34.5,57.83,12.29,1743,3138,4881
192,11/07/2011,3,0,7,0,1,1,1,31.26,36.49,63.58,18.92,723,3363,4086
193,12/07/2011,3,0,7,0,2,1,1,32.56,36.96,55.92,13.42,662,3596,4258
194,13/07/2011,3,0,7,0,3,1,1,30.61,34.47,63.17,9.79,748,3594,4342
195,14/07/2011,3,0,7,0,4,1,1,27.91,31.76,47.63,16.12,888,4196,5084
196,15/07/2011,3,0,7,0,5,1,1,27.2,31.22,59.13,12.25,1318,4220,5538
197,16/07/2011,3,0,7,0,6,0,1,28.15,31.91,58.5,13.96,2418,3505,5923
198,17/07/2011,3,0,7,0,0,0,1,29.49,33.49,60.42,16.42,2006,3296,5302
199,18/07/2011,3,0,7,0,1,1,1,30.61,35.2,65.13,14.46,841,3617,4458
200,19/07/2011,3,0,7,0,2,1,1,31.84,37.37,65.04,8.75,752,3789,4541
201,20/07/2011,3,0,7,0,3,1,1,31.5,37.34,70.71,7.63,644,3688,4332
202,21/07/2011,3,0,7,0,4,1,2,33.42,41.32,69.13,14.88,632,3152,3784
203,22/07/2011,3,0,7,0,5,1,1,34.78,42.04,58.04,8.92,562,2825,3387
204,23/07/2011,3,0,7,0,6,0,1,34.82,40.21,50,8.79,987,2298,3285
205,24/07/2011,3,0,7,0,0,0,1,34.03,39.74,55.08,11.33,1050,2556,3606
206,25/07/2011,3,0,7,0,1,1,1,30.48,36.05,75.71,6.08,568,3272,3840
207,26/07/2011,3,0,7,0,2,1,1,31.64,34.85,54.08,13.42,750,3840,4590
208,27/07/2011,3,0,7,0,3,1,1,31.78,34.53,40.29,12.29,755,3901,4656
209,28/07/2011,3,0,7,0,4,1,1,31.95,37,58.33,11.96,606,3784,4390
210,29/07/2011,3,0,7,0,5,1,1,34.37,39.3,54.25,11.67,670,3176,3846
211,30/07/2011,3,0,7,0,6,0,1,32.97,36.43,46.58,11.29,1559,2916,4475
212,31/07/2011,3,0,7,0,0,0,1,33.04,36.49,48.08,11.04,1524,2778,4302
213,01/08/2011,3,0,8,0,1,1,1,31.64,35.16,55.08,10.5,729,3537,4266
214,02/08/2011,3,0,8,0,2,1,1,32.12,35.35,49.13,13.79,801,4044,4845
215,03/08/2011,3,0,8,0,3,1,2,30,34,65.75,9.08,467,3107,3574
216,04/08/2011,3,0,8,0,4,1,2,29.11,33.24,75.75,13.21,799,3777,4576
217,05/08/2011,3,0,8,0,5,1,1,29.14,32.83,63.08,12.37,1023,3843,4866
218,06/08/2011,3,0,8,0,6,0,2,29.38,33.81,75.5,15.29,1521,2773,4294
219,07/08/2011,3,0,8,0,0,0,1,30.44,35.76,75.29,13.5,1298,2487,3785
220,08/08/2011,3,0,8,0,1,1,1,31.37,35.16,59.21,12.88,846,3480,4326
221,09/08/2011,3,0,8,0,2,1,1,31.78,36.21,57.04,10.13,907,3695,4602
222,10/08/2011,3,0,8,0,3,1,1,31.43,34.25,42.42,13.42,884,3896,4780
223,11/08/2011,3,0,8,0,4,1,1,29.42,32.58,42.38,11.04,812,3980,4792
224,12/08/2011,3,0,8,0,5,1,1,29.04,32.7,41.5,8.42,1051,3854,4905
225,13/08/2011,3,0,8,0,6,0,2,28.12,32.29,72.96,14.17,1504,2646,4150
226,14/08/2011,3,0,8,0,0,0,2,27.74,31.22,81.75,14.92,1338,2482,3820
227,15/08/2011,3,0,8,0,1,1,1,27.3,30.81,71.21,14,775,3563,4338
228,16/08/2011,3,0,8,0,2,1,1,28.73,32.29,57.83,15.83,721,4004,4725
229,17/08/2011,3,0,8,0,3,1,1,29.66,33.33,57.54,9.63,668,4026,4694
230,18/08/2011,3,0,8,0,4,1,1,29.18,33.11,65.46,15.62,639,3166,3805
231,19/08/2011,3,0,8,0,5,1,2,28.09,31.66,72.29,9.33,797,3356,4153
232,20/08/2011,3,0,8,0,6,0,1,28.6,32.45,67.42,7,1914,3277,5191
233,21/08/2011,3,0,8,0,0,0,1,29.14,33.78,77,16.67,1249,2624,3873
234,22/08/2011,3,0,8,0,1,1,1,28.36,31.91,47,18.54,833,3925,4758
235,23/08/2011,3,0,8,0,2,1,1,26.27,30.3,45.54,9.83,1281,4614,5895
236,24/08/2011,3,0,8,0,3,1,1,27.61,31.53,60.5,16.96,949,4181,5130
237,25/08/2011,3,0,8,0,4,1,2,28.05,32.29,77.17,14.13,435,3107,3542
238,26/08/2011,3,0,8,0,5,1,1,28.7,32.99,76.13,5.63,768,3893,4661
239,27/08/2011,3,0,8,0,6,0,2,27.88,31.78,85,25.17,226,889,1115
240,28/08/2011,3,0,8,0,0,0,1,28.99,32.4,56.18,20.41,1415,2919,4334
241,29/08/2011,3,0,8,0,1,1,1,26.1,30.4,55.46,10.71,729,3905,4634
242,30/08/2011,3,0,8,0,2,1,1,26.21,29.74,54.83,8.38,775,4429,5204
243,31/08/2011,3,0,8,0,3,1,1,26.92,30.56,59.79,5.58,688,4370,5058
244,01/09/2011,3,0,9,0,4,1,1,26.86,30.75,63.92,9.5,783,4332,5115
245,02/09/2011,3,0,9,0,5,1,2,26.38,30.24,72.71,9.38,875,3852,4727
